Mysore,Hunsur,75.7
Mysore,Chamundeshwari,70.84
Mysore,Krishnaraja,58.49
Mysore,Chamaraja,58.27
Mysore,Narasimharaja,56.1
Chamarajnagar,Heggadadevankote,71.84
Chamarajnagar,Nanjangud,72.36
Chamarajnagar,Varuna,73.34
Chamarajnagar,T. Narasipur,68.63
Chamarajnagar,Hanur,68.34
Chamarajnagar,Kollegal,72.77
Chamarajnagar,Chamarajanagar,75.4
Chamarajnagar,Gundlupet,79.53
Bangalore Rural,Kunigal,76.56
Bangalore Rural,Rajarajeshwarinagar,56.13
Bangalore Rural,Bangalore South,54.22
Bangalore Rural,Anekal,62.3
Bangalore Rural,Magadi,78.76
Bangalore Rural,Ramanagaram,77.55
Bangalore Rural,Kanakapura,78.51
Bangalore Rural,Channapatna,77.03
Bangalore North,K.R. Pura,53.46
Bangalore North,Byatarayanapura,59.18
Bangalore North,Yeshwanthapura,59.18
Bangalore North,Dasarahalli,52.26
Bangalore North,Mahalakshmi Layout,57.16
Bangalore North,Malleshwaram,61.52
Bangalore North,Hebbal,55.47
Bangalore North,Pulakeshinagar,55.44
Bangalore Central,Sarvagnanagar,52
Bangalore Central,C.V. Raman Nagar,55.72
Bangalore Central,Shivajinagar,54.54
Bangalore Central,Shantinagar,55.33
Bangalore Central,Gandhinagar,55.85
Bangalore Central,Rajajinagar,59.79
Bangalore Central,Chamrajapet,54.5
Bangalore Central,Mahadevapura,57.69
Bangalore South,Govindarajanagar,54.28
Bangalore South,Vijayanagar,53.95
Bangalore South,Chickpet,58.45
Bangalore South,Basavanagudi,55.46
Bangalore South,Padmanabanagar,59.58
Bangalore South,B.T.M Layout,55.62
Bangalore South,Jayanagar,59.32
Bangalore South,Bommanahalli,52.17
Chikkaballapur,Gauribidanur,75.59
Chikkaballapur,Bagepalli,76.55
Chikkaballapur,Chikkaballapur,81.67
Chikkaballapur,Yelahanka,64.13
Chikkaballapur,Hosakote,85.9
Chikkaballapur,Devanahalli,81.93
Chikkaballapur,Doddaballapur,77.32
Chikkaballapur,Nelamangala,73.73
Kolar,Sidlaghatta,78.91
Kolar,Chintamani,77.37
Kolar,Srinivasapur,78.77
Kolar,Mulbagal,74.05
Kolar,Kolar Gold Field,63.27
Kolar,Bangarapet,76.68
Kolar,Kolar,74.59
Kolar,Malur,80.07
