Bagalkot,6.75
Bangalore Central,2.93
Bangalore North,3.54
Bangalore Rural,3.18
Bangalore South,3.64
Belgaum,4.12
Bellary,3.92
Bidar,8.72
Bijapur,4
Chamarajnagar,5.07
Chikkaballapur,4.32
Chikkodi,3.23
Chitradurga,4.83
Dakshina Kannada,2.94
Davanagere,5.03
Dharwad,3.13
Gulbarga,2.73
Hassan,5.88
Haveri,3.33
Kolar,4.99
Koppal,7.17
Mandya,5.02
Mysore,2.59
Raichur,6.04
Shimoga,2.96
Tumkur,4.34
Udupi Chikmagalur,2.95
Uttara Kannada,4.87
