"Position","Candidate Name","Votes","Votes %","Party"
1,Katti Ramesh Vishwanath,438081,50.5%,Bharatiya Janta Party
2,Prakash Babanna Hukkeri,382794,44.1%,Indian National Congress
3,Shivanand Wantamuri Siddamallappa,19762,2.3%,Bahujan Samaj Party
4,Shaila Suresh Koli,12970,1.5%,Independent
5,Yashwant Manohar Sutar,5447,0.6%,Independent
6,Banashankari Bhimappa Ittappa,5132,0.6%,Independent
7,Mallappa Maruti Khatanve,3616,0.4%,Independent
