"Position","Candidate Name","Votes","Votes %","Party"
1,D.V.Sadananda Gowda,401441,48.0%,Bharatiya Janta Party
2,K.Jayaprakash Hegde,374423,44.8%,Indian National Congress
3,Radha Sundaresh,24991,3.0%,Communist Party Of India
4,Srinivas Poojary,11263,1.3%,Independent
5,J.Steven Menezes,9971,1.2%,Bahujan Samaj Party
6,Dr. Sridhara Udupa,3467,0.4%,Independent
7,Comrade//umesh Kumar,3283,0.4%,Independent
8,Vinayak Mallya,3096,0.4%,Independent
9,K.Ganapathi Shettigar,2793,0.3%,Independent
