"Position","Candidate Name","Votes","Votes %","Party"
1,Pakkirappa.S.,316450,46.4%,Bharatiya Janta Party
2,Raja Venkatappa Naik,285814,41.9%,Indian National Congress
3,K.Devanna Naik,29317,4.3%,Janata Dal (Secular)
4,K.Somashekhar,14869,2.2%,Independent
5,Shivakumar,11849,1.7%,Bahujan Samaj Party
6,Comrade V.Mudukappa Nayak,8412,1.2%,Independent
7,R.Mudukappa Nayak,7862,1.2%,Independent
8,Com Ii. V.H.Master,7691,1.1%,Independent
