"Position","Candidate Name","Votes","Votes %","Party"
1,J. Shantha,402213,46.7%,Bharatiya Janta Party
2,N.Y. Hanumanthappa,399970,46.5%,Indian National Congress
3,A. Ramanjanappa,16167,1.9%,Independent
4,T. Nagendra,14712,1.7%,Bahujan Samaj Party
5,Chowdappa,11540,1.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
6,B. Ramaiah,9338,1.1%,Independent
7,D. Ganganna,6929,0.8%,Independent
